ID;Text;TextID;Titel
11;RADIX_0000000000147457;Your Sun in Capricorn;"The sign Capricorn is ruled by the planet Saturn, giving you a more serious character. You take great care in fulfilling your responsibilities. You do not shy away from taking on responsibility for yourself or for others and are willing to work hard for it. You define your goals clearly. Your determination causes you to make realistic plans. Because Capricorn is an Earth sign, you will devote your life to working conscientiously towards fulfilling your obligations. This may include working in a larger framework, because you are not afraid of openly addressing the public. You can organize effectively and can be an example when it comes to endurance and reliability. If you become interested in politics and decide to actively participate, you will find that you have all the energy you will need. If you pursue a career to gain prestige you will be successful because you are truly a wonder of self-discipline. You will find your connections and contacts useful.



You concentrate on essentials and do not allow yourself to be distracted. It is not difficult for you to respect law and order, because you tend to follow the prescribed form. Do not become too fascinated with the social position or status symbols of others, it seldom leads to real friendships. Do not put yourself under pressure to succeed. Enjoy time with your loved ones, it will do you good. You will probably find growing old pleasant and become more relaxed than you were in your youth."
12;RADIX_0000000000163841;Your Sun in Aquarius;"People born under the sign of Aquarius see themselves as a rejuvenating force, breaking down outdated societal structures and preparing the way for a better, liberated life in a humane society.



Friendship and solidarity are of great importance for you. This can be traced back to the planet Uranus, which rules the sign Aquarius. Your friends know that they can depend on you because Uranus fosters philanthropy and humanitarian ideals.



You demonstrate originality and are proud to be different from all the others. You have thousands of fantastic ideas and a sense for unconventional problem solving. However, you should not try to evade taking action yourself and let others work to realize your plans. Basically, you are aware of your responsibility and are a kind person. If you are sometimes considered a bit of a crackpot and not taken seriously, remember that not everyone can paint the future as brightly as you do and not everyone is prepared to take unconventional steps toward realizing their goals. You have high ideals and love truth above all else. Take care not to become impatient and get a reputation for being an upstart, constantly criticizing destructively without offering a better alternative.



You will never complain about a lack of company, because you need lots of contact and feel most comfortable in a group. You share your ideas and reflect on any topic that is currently being discussed. You are open for anything new and are spirited, even if sudden, unexpected changes upset you. You pay also special attention to practicing the equality of the sexes in everyday life."
13;RADIX_0000000000180225;Your Sun in Pisces;"Due to your sensitive nature you are able to pick up on mood changes in your surroundings. Sometimes it is hard to tell if it is a blessing or a curse because your extraordinary perception can cause internal confusion. You are like a sponge, taking in everything indiscriminately, later wondering which are your own emotions and opinions. You often complain about hard reality. Your beautiful ""dream world"" will not provide a permanent solution; you are going to have to learn to get along with the way things are. You should withdraw more often and try to relax with good literature.



Pisces, being the last of the twelve Sun signs, takes on something from each one. You are swimming in the great ocean of the diversity of signs. This may not always be easy. You often have trouble making a decision because Neptune, the ruler of Pisces, is clouding your thoughts. You should try to appear more determined, investing your energy in concrete ambitions. Do not allow yourself to become dependent on the goodwill of others, insist on standing on your own two feet. First, you must overcome your fear and become aware of your great potential. 



In the creative arts, especially music, you are able to impress those around you with your successes. You will reach your life's goal by activating your filter and learning to differentiate the problems that should be addressed from those which do not concern you. You may find strength in faith, Christianity is embodied in the sign Pisces, and the character Jesus Christ may describe the qualities and potential of this sign well. You are capable of honest sympathy and may find your calling in charity work. Be careful of drugs, they can become dangerous more quickly than you think."
14;RADIX_0000000000262146;Your Sun in Conjunction with Your Moon;"With this aspect, your emotional state should harmonize well with your will power. You can express all of your energy through your appearance, which is why you are not very good at deception. When you set out to do something, you have to be emotionally committed to your goal. Watch out that you do not just think of yourself, but take other people's feelings into consideration before acting. It may be in your professional interest to go into business for yourself. Then no one will expect you to compromise with colleagues or with the boss.  The results of your business will tell if you are on the right track.



If the Sun forms a conjunction with the Moon, you were born during the new Moon of that month. This is the beginning of a new cycle that applies to the area of the chart where the Sun and the Moon are found. Here you can be especially successful. These sides should harmonize well with each other because the Sun represents male energy and the Moon female.



Your situation at home is very important to you and you will fulfill every requirement to make it as pleasant as possible. You will not let anyone tell you how to run your personal life, because you know exactly what you want."
15;RADIX_0000000000524290;Your Sun in Conjunction with Your Mercury;"This aspect grants you the ability to be active in many fields of communication. Primarily for professional and social matters, you are capable of imaginative and productive exchanges. With your wealth of energy you should be able to put your ideas into action.



If Mercury forms an especially close conjunction to the Sun within a radius of 1/2 to 4 degrees, you could be so preoccupied with your ego that your own self-image contradicts how others see you. It is difficult for you to take suggestions from others.



Your astounding intellectual abilities may drain your energy when you do your best not to miss out on anything. Take time to let your many talents recuperate.



You can be very creative and produce a lot of good ideas but be prepared before acting to ensure success. Once in a while it would do you good not to take yourself so seriously and be a little more humble."
16;RADIX_0000000000786434;Your Sun in Conjunction with Your Venus;Because you are emotionally intense, decisions are frequently made intuitively. You are usually in a good mood and like to have fun. A well-developed creativity lends itself to expression in music and other arts. Speculating on the market might prove profitable to you, but be wary of illusions in this area. As a people person, you are friendly and jovial. Others appreciate your ability to listen and are happy to be around you. You do not want to be overlooked, you are very aware of the impression you make on others and know how to make yourself remembered in a positive sense, although a little humility now and then would be an improvement.
17;RADIX_0000000001048578;Your Sun in Conjunction with Your Mars;"You are decisive and courageous. The house where the Sun and Mars are found are marked by a bustle of activity. The effected areas of your personality will be impressed into your consciousness.



Guard against aggression and arrogance, even if you sense a longing to prove your authority once and for all and are determined to have your way. This behavior causes others to feel threatened, even if you do not want to admit it.



With your creative potential, you should be capable of demonstrating firm resolution in positions of leadership. It is not a matter of what you do, but how you do it. This may lead to conflicts with your colleagues, because willingness to compromise is not one of your strong points."
18;RADIX_0000000001310722;Your Sun in Conjunction with Your Jupiter;"The resolute solar energy is supported by the expanding qualities of Jupiter. This aspect enables you to put your individual plans into action and expand your sphere of influence. Others find you charming and appreciate your benevolent and enthusiastic attitudes toward others. This makes you a respected member of society. A positive outlook on life helps you to make optimal use of the situation. At work you are appreciated for you ability to spread enthusiasm and for your social work, and therefore can count on the cooperation of your colleagues and your boss at any time.



In the birth chart, Jupiter is linked to the ninth house and the sign, Sagittarius, the area and the sign that stands for the art of living together. The life concepts that you develop find broad support. This could help launch you into an influential position. It is important to you to lead a full and eventful life that offers lots of opportunities and lets you develop your creative expression."
19;RADIX_0000000001572866;Your Sun in Conjunction with Your Saturn;"Saturn, which represents the principle of restriction and limitation, could have a negative influence on your means of expression. This is why you cannot realize your potential until you have identified what has been blocking your way all this time. Do not restrict your search for its cause to the outside world or to other people, but look also within yourself. The relationship to your parents, especially to your father, can play a large role. You should analyze the problem and integrate your insights into your personality.



You will reach your goal only with a lot of effort; do not expect to get anything for free. When you are disappointed you are quick to believe that the demands of life are too much for you. Do not let yourself get pulled down, or you will miss opportunities for growth and development that you really should not let go by. Once you have overcome these hurdles, you will have a right to be proud. Once your confidence develops your organizational talents will bring you considerable success."
20;RADIX_0000000001835010;Your Sun in Conjunction with Your Uranus;"The Sun's energy works together with this aspect to keep you constantly on the lookout for new experiences. You are in a position to find out more about esoteric fields. Once you have found an area that arouses your interest, such as Astrology, you will find your own individual way of setting your entire will power on getting to know the area. Anyone who does not understand your way of doing things cannot be helped, in your opinion.



You are surrounded by people who are, like you, enthusiastically anticipating the future. In your relationships you should watch that your uncontrolled temperament does not take center stage. There could be a danger of losing sight of what is important and losing the friends who are dear to you."
21;RADIX_0000000002097154;Your Sun in Conjunction with Your Neptune;"You seem to revel in daydreams. All the needs and emotions which play an important role in your life seem to originate from another world. This either leaves you completely confused or gives you a deeper understanding of metaphysical processes.



Do not shut yourself off from current events but continue your education so that you can maintain a balance to your emotions. This conjunction may make it difficult for you to differentiate between reality and fantasy. Neptune arouses some rather unusual expectations that can result in a preoccupation with success and recognition. 



You should learn to become more conscious of reality. Much of what you would perceive will not be to your liking, but the sooner you accept the challenge, the better you will be able to cope with it and stop letting destructive fantasies make your life difficult. If you give up your unrealistic ideas and expectations, you will not suffer so much from disappointments."
22;RADIX_0000000002359298;Your Sun in Conjunction with Your Pluto;"This aspect will give you large energy reserves that you and other people can draw from and profit through its influence. With considerable powers you complete your work and do not hesitate to accept every challenge. You understand dimensions of space and time as well as the role of mankind within its framework. Probably you have an intense gaze and plenty of endurance to get to the root of the matter. You have enough depth to get through to other and higher levels of consciousness and to comprehend them. 



Do not make the mistake of placing yourself and your needs above others. Both should be combined together in harmony. Do not let your latent power hunger and your authoritarian tendencies get out of control, otherwise you may end up in isolation. Recognize that everyone has a right to an own opinion."
23;RADIX_0000000008388610;Your Sun in Conjunction with Your Northern Moon Node;"Your entire personality compels you to let go of your past and devote your entire energy to your work. You have enough will power and energy at your disposal to drive your further development. However, under no circumstances should you ignore your natural impulses. If you make peace with yourself in the course of your lifetime, you will be able to follow your path consequently and finally overcome your weaknesses. You will integrate the lessons of your life into your development; at least when you meet challenges in life, you will be ready for them."
24;RADIX_0000000009175042;Your Sun in Conjunction with Your Ascendant;"The longing to be someone, combined with your self-content, may actually be preventing you from recognizing how much people like you. When you take something on, you like to realize it in your own way without others giving you orders. It may be difficult for you to submit to the will of other people when the situation requires it. If you should ever experience resistance in your surroundings you should be able to use your creativity successfully.



Making friends is easy for you. If you are not able to win everybody's friendship, you are annoyed. If you would try to restrain your conceit a little, it would do you good."
25;RADIX_0000000009437186;Your Sun in Conjunction with Your MC;"The influential position you have attained both professionally as well as socially will put you in a position to help others. Maybe you are in a profession that involves politics or public appearances. You should definitely consult the remaining aspects to the Sun.



This conjunction can also show that your dominant parent exercised influence over you at an early age and took part in a large portion of your development until now. The relation of the rest of your chart to the Sun and the tenth house will tell if your relationship to this parent is a kind of dependency or a personal challenge."
26;RADIX_0000000000278530;Your Sun in Opposition with Your Moon;If the Sun forms an opposing aspect to the Moon, you were born during the full moon. Everyone knows that a full moon can create a charged atmosphere. You may find it very difficult to make decisions. Your emotional receptivity and will power can constantly be in conflict with each other causing you to experience tensions in dealing with others. Also take care of your health because the Moon and the Sun can have a strong influence on your physical energy. Do something about stress and nervousness. If you do not calm down, your energy reserves will soon be depleted. If you were to try out meditation and relaxation techniques you could resolve your past which would then allow your means of expression to blossom leaving nothing which could be in the way of solving a conflict.
27;RADIX_0000000001064962;Your Sun in Opposition with Your Mars;"This aspect will not be so easily overcome because you tend to be belligerent and hostile, which may manifest itself on a physical level. Possibly you have pronounced aggression, which attracts quarrels like moths to a flame. Become aware of the effects of your aggression on your surroundings and develop more sensitivity.



It would be better for you to divert your excess energy to sports, but watch out that the soccer referee does not show you the red card. Choose your surroundings carefully and use a little more common sense. If you try using diplomacy you will see that not everyone rejects you."
28;RADIX_0000000001327106;Your Sun in Opposition with Your Jupiter;"Try to avoid appearing overenthusiastic and out of touch. The feeling of being constantly under pressure to perform comes from your tendency to pretend to have talents you wish you had. Having never owned a spaceship, you want to bring the stars down from the sky. Sometimes your friends get annoyed because you try to push your ideology on them, which you see as the only valid way of thinking. Try not to develop expectations that are too arrogant and unrealistic; if you overdo it, one day you may find yourself lonely and forsaken.



In striving for recognition and success be sure to call on the right advisor. Maybe you would be better able to recognize your limitations and to leave someone else the jobs that you are not qualified to do. This may result in creative teamwork, which would be a good working environment for you. Stay in touch with the people who gave you your professional training. Let them know you are grateful and you will be able to count on their help in the future."
29;RADIX_0000000001589250;Your Sun in Opposition with Your Saturn;"This is a constellation that can greatly restrict your personal expression. Others may sometimes think that you are distant and humorless. In relations with the opposite sex these qualities will not have an especially positive effect. If you do not do something, you will go down in history as an unapproachable loner. Actually you just want to find out who or what you are.



The primary inhibiting factor to your success has been your inability to like yourself, even a little. Possibly your parents were authoritarian and placed you within boundaries which you were not permitted to overstep. If no space for self-realization was provided for you, then you should simply claim the space you need. There is no sense in waiting for others to take the initiative for you that could take a long time. Instead, use the waiting period to develop a sense of humor, it will certainly be of more use to you."
30;RADIX_0000000001851394;Your Sun in Opposition with Your Uranus;"Getting your way is a top priority for you, whereby you do not always proceed in a very sensible manner. Your concepts of independence and freedom may put some people off. This also causes problems in relationships. The next time you go about changing your convictions, remember to turn on your brain first. Your friends expect to have to constantly redefine their image of you because their experience with you has shown that tomorrow everything may have changed completely. Your hectic pace can cause stress that can have an effect on your physical vitality.



Sometimes you can upset people by insisting on being traditional. Extreme mood swings make it difficult for anyone to be your friend. Do not act impulsively because you are not going to get away with everything, even if you consider yourself to be a genius with extraordinary talents. These talents may actually exist, but ask for advice from others before putting them to use.



Humility and moderate behavior would suit you well. Make more of an effort to get your feet back on the ground because you are truly capable of putting your plans into practice."
31;RADIX_0000000002113538;Your Sun in Opposition with Your Neptune;"This aspect will challenge you on several levels. The lack of a sense of reality may cause problems in your erotic and private relationships. Possibly you are inclined to be intolerant of the weaknesses in your partner. If you do not make more of an effort to be objective, you will have to accept some disappointments. 



A reluctance to make decisions and a general uncertainty about what you should do with your life can become problematic when you unintentionally deceive others and it can provoke unforeseeable reactions. You simply need a better feel for the reality you are confronted with daily. You should not get trapped in your dream world. Once you have understood this, you will be able to grow with the challenges of this aspect."
32;RADIX_0000000002375682;Your Sun in Opposition with Your Pluto;"This aspect gives you a very unique will. You could take your interests so seriously that you violate the needs of others. When you feel misunderstood, you may be inclined to fits of rage or you may pout and sulk, which tends to happen frequently. This should come as no surprise because you only seldom reveal your motives and feelings. In spite of this, you insist that others follow your commands. Open yourself up a little and afford a glimpse at your inner processes to the people closest to you, at the very least. This will make the entire situation easier. The problem is much more than your convictions, it is also the manner in which you express them. Your ideas can be wonderful, but if you cannot express them tactfully; no one will listen to you. Once you have realized this, the inevitable conflicts brought about by your obstinate character can be diverted.



The same processes can also make your love life complicated. It would do you good to practice moderation and behave more reasonably, whereby your ability to compromise would be a great help to you."
33;RADIX_0000000008404994;Your Sun in Opposition with Your Northern Moon Node;Do not get hung up on your past and refuse to take the next step forward. It is as if you are suppressing your ego to avoid facing new experiences, preferring to live through the tried and true negative experiences one more time. Almost compulsively you continue your familiar patterns of behavior and identify so strongly with them, that you are unable to explain your failure. Try to overcome your inhibitions about opening up and looking more optimistically towards the future. Then you will find friends who can give honest feedback. You need positive energy of the kind indicated by your Sun position so that you can devote more energy to your work.
34;RADIX_0000000009191426;Your Sun in Opposition with Your Ascendant;"Possibly you prefer to let yourself be dominated by others. You are easily impressed and if you do not watch out, you may find yourself in the clutches of people who want to force their strong ego onto you. Go ahead and take yourself a little more seriously, then no one can be as insignificant as you can sometimes feel.



An attraction to successful people may lead you to try to imitate them. Look deeper within yourself, become more aware of your talents and do not try to please others, because you cannot keep it up for long. Your behavior may have been influenced by your relationship to your parents. Become more aware of how strong your ties to them are and think about starting to let go. This will improve your relationships and free more energy that you can then invest in your career."
35;RADIX_0000000009453570;Your Sun in Opposition with Your MC;In the course of achieving your professional position, you will have difficulties with authority figures. Also you may have had conflicts with teachers, bosses and managers. Maybe you were closer to one of your parents and tried to play your parents out against each other in conflict situations. If your parents fought a lot this may have made it very difficult to express yourself. It may be helpful for you to approach your environment ready to cooperate and make compromises. Accept the fact that you will not always have your way.
36;RADIX_0000000000294914;Your Sun in Square with Your Moon;"This aspect causes you to sense a contradiction between your will, your subconscious, your socialization and behavior which can make you feel deeply dissatisfied. Maybe your creative talents lie hidden in darkness. If you cannot find emotional harmony, you will never find a permanent solution to your problems. It is possible that your family is keeping you from expressing your individual qualities.



Look for a means to let off steam or you will hardly experience satisfaction with your life. You fight frequently and your defensiveness does not make your situation any easier. If you should feel a desire to change, you will have to give up your defensive position and take the needs of others more frequently into consideration. This requires a certain amount of effort, only it is not clear how the end result should look. There is, namely, a wide discrepancy between your ideal and your willingness to exert yourself in order to realize it. Be aware that the fulfillment of your personal desires depends on your reaction to the circumstances."
37;RADIX_0000000001081346;Your Sun in Square with Your Mars;"Sometimes your appear temperamental which can be advantageous. You become aggressive or depressed at any kind of restrictions. This leads to a desire to satisfy your needs using any means necessary. This will annoy people because this behavior can be tolerated by almost no one. If you want to avoid arousing anger, make an attempt to restrain yourself. Before doing anything, be sure you know exactly what you want. Make an effort to control your anger and exercise patience and tolerance; this is the only way to achieve your ambitions without entangling yourself in conflicts.



Watch that you do not waste your energies in senseless power struggles. Your talents could bring you much success; merely respect the borders that will be a part of every profession. Independence is important to you, and you should know what you are getting into before tying yourself down professionally or in your private life."
38;RADIX_0000000001343490;Your Sun in Square with Your Jupiter;"Guard against careless action. Possibly you want to put your plans into action without investing a lot of effort. You take on too much and then get frustrated when things do not go as expected. This often results in an exaggerated egotism. Try to relax, even if you are not able to change overnight.



This aspect can point to a tendency for arrogance as well as to excesses in the areas associated with the houses and signs where the Sun and Jupiter are found. You are probably very generous, although you do not give without harboring expectations. Make an effort not to become intolerant; trying to push your ideology on others."
39;RADIX_0000000001605634;Your Sun in Square with Your Saturn;"This square shows that your life is not necessarily an easy one. Probably you will have to overcome a lot of hurdles in your professional life as well as your private life, which will only be feasible with a disciplined approach. Because you may frequently experience disappointments in the course of your life, you should not let them get you down. This is easier said than done, but remember the alternatives. It will not help you to fall into depression and to lament about the state of the world before you have swept in front of your own house.



You may have to make some bitter experiences in the areas of life of the houses where the Sun and Saturn are found. You really have no choice but to work through these experiences and integrate them into your personality.



Success was not handed to you on a silver platter, and you will have to discover your own abilities before you can utilize them effectively. Once you learn to stand resolutely, you should be able to come to terms with life and accept your experiences with an optimistic gaze toward the future."
